IMW 9.639 1 P
FLWY 10.79 0.75 P
YPP 14.58 0.75 P
B944 16.02 0.75 P
MCID 16.09 0.75 P
YTP 15.91 0.5 P
# 2010 08 23 03 41 30.16 43.601 -110.471666666667   5.0 0.00  7.7  6.6 0.16 69
LOHW 2.910 0.75 P
REDW 7.950 0.75 P
IMW 9.229 0.75 P
FLWY 10.29 0.75 P
YPP 14.18 0.75 P
MCID 15.58 1 P
YLT 16.85 0.5 P
# 2010 08 19 19 29 57.22 43.6081666666667 -110.416666666667   1.9 0.00 10.3  4.9 0.11 70
LOHW 3.729 0.75 P
REDW 8.820 1 P
IMW 9.949 1 P
FLWY 10.82 1 P
YPP 14.69 0.75 P
B944 15.88 0.5 P
MCID 16.25 0.75 P
# 2010 08 26 02 16 50.50 43.6056666666667 -110.436666666667   4.4 0.00  9.5  3.5 0.12 71
LOHW 3.359 0.75 P
REDW 8.379 1 P
IMW 9.490 1 P
FLWY 10.45 0.75 P
YPP 14.54 0.75 P
YTP 15.74 0.5 P
MCID 15.79 1 P
# 2010 08 20 12 07 48.93 43.6105 -110.465   5.0 0.00  7.6  5.0 0.13 72
LOHW 2.969 0.75 P
REDW 8.100 0.75 P
IMW 9.199 1 P
FLWY 10.20 0.75 P
YPP 14.03 0.75 P
MCID 15.55 0.75 P
B944 15.60 0.75 P
# 2010 08 21 05 56 15.28 43.6128333333333 -110.45   5.6 0.00 10.7  6.2 0.14 73
LOHW 3.219 0.75 P
REDW 8.300 0.75 P
IMW 9.389 1 P
FLWY 10.36 1 P
YPP 14.34 0.75 P
B944 15.06 0.5 P
MCID 15.29 0.5 P
H17 15.62 0.5 P
YLT 16.80 0.25 P
# 2010 08 25 17 32  2.72 43.6056666666667 -110.38  -1.4 0.00  9.5  2.4 0.11 74
LOHW 4.709 0.75 P
REDW 9.759 1 P
IMW 10.93 1 P
FLWY 11.83 1 P
YPP 15.62 0.75 P
YTP 16.29 0.75 P
B944 16.70 0.5 P
MCID 16.97 0.75 P
YLT 17.46 0.5 P
ECR 18.62 0.75 P
# 2010 08 25 21 22 51.86 43.614 -110.408333333333   1.3 0.00  8.4  2.2 0.18 75
LOHW 3.899 1 P
REDW 9.169 0.75 P
IMW 9.970 1 P
FLWY 11.06 0.75 P
YPP 14.81 0.75 P
B944 16.06 0.75 P
YTP 15.84 0.75 P
MCID 16.30 0.75 P
YLT 16.41 0.75 P
ECR 17.84 0.75 P
# 2010 08 25 21 21 14.72 43.6021666666667 -110.391666666667   4.1 0.00 13.5  3.1 0.16 76
LOHW 3.919 1 P
REDW 8.879 1 P
IMW 9.989 1 P
FLWY 10.93 1 P
YPP 14.78 1 P
YTP 15.70 0.5 P
B944 15.88 1 P
MCID 16.29 1 P
YLT 16.48 0.5 P
ECR 17.44 0.5 P
YFT 17.53 0.5 P
# 2010 08 26 00 51 56.31 43.6105 -110.433333333333   5.0 0.00  9.6  5.1 0.12 77
LOHW 3.419 1 P
REDW 8.419 1 P
IMW 9.459 1 P
FLWY 10.39 1 P
YPP 14.25 0.75 P
B944 15.5 0.75 P
H17 15.91 0.5 P
MCID 15.79 1 P
YLT 16.58 0.5 P
ECR 17.27 0.5 P
# 2010 08 27 22 02  8.36 43.6235 -110.48   4.9 0.00  7.1  8.4 0.16 78
LOHW 2.810 0.75 P
REDW 8.149 0.75 P
IMW 8.860 1 P
FLWY 9.830 1 P
YPP 14.11 0.75 P
MCID 15.16 0.75 P
# 2010 08 29 22 20 28.50 43.6176666666667 -110.39  -0.9 0.00  9.0  7.8 0.21 79
LOHW 4.509 1 P
REDW 9.540 0.75 P
IMW 10.60 1 P
FLWY 11.52 1 P
YPP 14.81 0.5 P
MCID 16.91 0.75 P
ECR 18.77 0.5 P
# 2010 09 04 14 01 13.72 43.6033333333333 -110.481666666667   7.1 0.00  6.6  5.3 0.14 80
LOHW 2.890 0.75 P
REDW 7.870 0.75 P
IMW 9.210 1 P
FLWY 10.06 0.5 P
YPP 14.15 0.75 P
MCID 15.22 0.75 P
B944 15.46 0.75 P
YLT 16.89 0.5 P
# 2010 09 02 16 01 46.56 43.601 -110.455   5.0 0.00  7.9  3.1 0.10 81
LOHW 3.119 0.75 P
REDW 8.119 0.75 P
IMW 9.390 0.75 P
FLWY 10.60 0.75 P
YPP 14.47 0.75 P
MCID 15.44 0.75 P
B944 15.79 0.75 P
YTP 15.67 0.5 P
# 2010 09 03 10 18 14.58 43.5961666666667 -110.423333333333   3.7 0.00  9.0  2.2 0.17 82
LOHW 3.529 1 P
REDW 8.459 1 P
IMW 9.809 1 P
FLWY 10.92 1 P
YPP 14.79 1 P
B944 15.97 0.75 P
YTP 15.98 1 P
H17 16.13 1 P
MCID 16.16 1 P
YLT 16.58 0.75 P
ECR 17.22 0.75 P
YFT 17.46 0.75 P
# 2010 09 04 01 10 48.19 43.6021666666667 -110.456666666667   3.9 0.00  7.5  4.5 0.15 83
LOHW 3.070 0.75 P
REDW 8.140 0.75 P
IMW 9.359 0.75 P
FLWY 10.41 0.75 P
YPP 14.40 0.75 P
MCID 15.73 0.75 P
B944 15.59 0.75 P
YLT 17.01 0.5 P
# 2010 09 07 04 06 30.86 43.5866666666667 -110.46   4.0 0.00  6.0  2.5 0.12 84
LOHW 3.119 1 P
REDW 7.959 1 P
IMW 9.489 1 P
FLWY 10.79 1 P
YPP 14.70 0.75 P
MCID 15.91 0.75 P
B944 16.17 0.75 P
YTP 16.06 0.75 P
ECR 16.76 0.5 P
YLT 16.85 0.75 P
# 2010 09 08 21 39 37.80 43.6151666666667 -110.563333333333   6.9 0.00  2.8 14.1 0.03 85
LOHW 2.139 1 P
REDW 7.299 0.75 P
IMW 8.239 1 P
YPP 13.61 0.75 P
MCID 14.40 0.75 P
# 2010 09 09 05 22  1.35 43.6188333333333 -110.453333333333   5.0 0.00 10.1 10.5 0.15 86
LOHW 3.160 0.75 P
REDW 8.310 1 P
IMW 9.119 1 P
FLWY 10.17 0.5 P
YPP 14.08 0.5 P
MCID 15.54 0.75 P
# 2010 09 13 00 54 23.31 43.5225 -110.505   2.9 0.00  7.8 11.7 0.08 87
LOHW 3.290 0.75 P
REDW 6.849 0.5 P
IMW 10.10 0.75 P
FLWY 11.77 1 P
YPP 15.69 0.75 P
MCID 16.51 0.5 P
